"","kingdom","phylum","class","order","family","genus","species"
"131","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Selenistis","Selenistis annulella"
"132","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Ethioterpia","Ethioterpia lichenea"
"133","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Neuranethes","Neuranethes spodopterodes"
"134","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Cerocala","Cerocala vermiculosa"
"135","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Philotis","Philotis basalis"
"136","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Amerila","Amerila bauri"
"137","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Caradrina","Caradrina glaucistis"
"138","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Naroma","Naroma varipes"
"139","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Siccia","Siccia tsitsikamma"
"140","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Dysallacta","Dysallacta negatalis"
"141","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Acraea","Telchinia serena"
"142","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Kedestes","Kedestes niveostriga"
"143","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus chrysippus"
"144","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Byblia","Byblia anvatara"
"145","Animalia","Arthropoda","Insecta","Lepidoptera","Eupterotidae","Rhabdosia","Rhabdosia vaninia"
"146","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Spoladea","Spoladea recurvalis"
"147","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Helicoverpa","Helicoverpa armigera"
"148","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Tegulifera","Tegulifera tristiculalis"
"149","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Anomis","Anomis sabulifera"
"150","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypocala","Hypocala deflorata"
"151","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Hypsopygia","Hypsopygia nostralis"
